vl_cnpj;nivel_atividade;empresa_porte;saude_tributaria
3,3888E+13;Não Cadastrado;MICRO;Não Cadastrado
3,39381E+13;ALTO;GRANDE;VERDE
4,04739E+13;MEDIO;MICRO;Não Cadastrado
4,31854E+13;ALTO;GRANDE;CINZA
4,5297E+13;MEDIO;MEI;Não Cadastrado
4,53363E+13;MEDIO;MEI;Não Cadastrado
4,53831E+13;MEDIO;MEI;Não Cadastrado
4,58108E+13;Não Cadastrado;MICRO;Não Cadastrado
5,9106E+13;ALTO;GRANDE;VERDE
5,99818E+13;MEDIO;GRANDE;VERDE
6,05373E+13;MEDIO;GRANDE;AMARELA
6,10653E+13;ALTO;GRANDE;VERMELHO
6,10658E+13;ALTO;GRANDE;AMARELA
6,11561E+13;ALTO;GRANDE;VERMELHO
6,11569E+13;ALTO;GRANDE;AMARELA
6,11893E+13;ALTO;GRANDE;VERMELHO
6,76204E+13;ALTO;GRANDE;AMARELA
7,31786E+13;ALTO;GRANDE;AMARELA
7,66275E+13;ALTO;GRANDE;VERMELHO
8,26435E+13;ALTO;MEDIA;VERDE
9,00769E+13;ALTO;GRANDE;AMARELA
9,78372E+13;ALTO;GRANDE;AMARELA
2,66404E+12;ALTO;MEDIA;VERDE
3,39353E+12;ALTO;MICRO;CINZA
4,42357E+12;ALTO;GRANDE;VERDE
4,90298E+12;ALTO;GRANDE;VERDE
4,98632E+12;ALTO;GRANDE;CINZA
9,14645E+12;BAIXO;GRANDE;VERDE
1,06291E+13;ALTO;GRANDE;CINZA
1,20918E+13;MEDIO;GRANDE;VERDE
1,51155E+13;ALTO;GRANDE;VERDE
1,71674E+13;ALTO;GRANDE;VERMELHO
2,6346E+13;MEDIO;GRANDE;VERDE
3,03063E+13;ALTO;GRANDE;VERDE
4,0738E+13;MEDIO;MICRO;Não Cadastrado
4,10853E+13;BAIXO;MEDIA;Não Cadastrado
4,17865E+13;MEDIO;MEI;Não Cadastrado
4,4864E+13;ALTO;MEI;Não Cadastrado
4,49625E+13;MEDIO;MICRO;Não Cadastrado
4,53167E+13;MEDIO;MEI;Não Cadastrado
4,6513E+13;Não Cadastrado;MEI;Não Cadastrado
7,72943E+13;MEDIO;GRANDE;Não Cadastrado
8,86137E+13;ALTO;GRANDE;CINZA
9,20125E+13;ALTO;GRANDE;VERDE
